Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02955013


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2955013;1;01/10/2018;1;88,5;196,5;27;6;1;1;1;;0;0,0;18,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,8;9,5;0,0;0,0;0,0;0,0;23,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;88,5;0,0;0,0;0,0;47,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/09/2018;1;62,3;313,4;26;11;1;1;1;;0;13,4;24,5;2,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,2;0,0;52,3;7,5;0,0;25,2;0,0;0,0;0,0;0,0;36,4;62,3;18,7;0,0;0,0;59,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2955013;1;01/08/2018;1;64,5;142,5;31;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,2;0,0;0,0;0,0;15,1;13,9;0,0;0,0;0,0;0,0;4,3;64,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/07/2018;1;32,3;49,7;21;6;1;1;1;;0;0,0;0,0;0,0;0,0;2,8;0,0;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;32,3;0,0;0,0;0,0;2,3;3,5;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/06/2018;1;74,8;203,5;1;6;1;1;1;;0;74,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,8;36,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,6;0,0;0,0;6,8;52,4;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2955013;1;01/05/2018;1;;317,6;;;0;1;0;;0;104,5;0,0;0,0;68,4;0,0;0,0;0,0;0,0;0,0;55,8;63,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/04/2018;1;;;;;0;0;0;;0;0,0;0,0;0,0;22,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,2;12,3;;22,5;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;0;0;0;
2955013;1;01/03/2018;1;112,0;145,1;25;4;1;1;1;;0;0,0;0,0;9,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;17,3;0,0;0,0;0,0;0,0;0,0;112,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2955013;1;01/02/2018;1;39,6;112,2;11;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,8;39,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,1;16,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2955013;1;01/01/2018;1;75,1;171,9;28;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;13,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,5;0,0;0,0;0,0;3,6;0,0;22,2;0,0;0,0;24,8;22,3;0,0;0,0;75,1;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
